date,PX_LAST
2022-04-04,56347.7
2022-04-05,56414.9
2022-04-06,53523.3
2022-04-07,53040.3
2022-04-08,52227.2
2022-04-11,48852.6
2022-04-12,48039.5
2022-04-13,50277.0
2022-04-14,48693.6
2022-04-18,49763.5
2022-04-19,50766.1
2022-04-20,50417.8
2022-04-21,50448.3
2022-04-22,48236.3
2022-04-25,49195.7
2022-04-26,46824.8
2022-04-27,47582.5
2022-04-28,48914.6
2022-04-29,46788.1
2022-05-02,47099.8
2022-05-03,45993.8
2022-05-04,48761.8
2022-05-05,44325.6
2022-05-06,43904.0
2022-05-09,37799.6
2022-05-10,38227.3
2022-05-11,35679.2
2022-05-12,34933.8
2022-05-13,36705.8
2022-05-16,36058.1
2022-05-17,36663.0
2022-05-18,35631.4
2022-05-19,36571.5
2022-05-20,35716.9
2022-05-23,35497.1
2022-05-24,35814.5
2022-05-25,36022.1
2022-05-26,35851.2
2022-05-27,35179.7
2022-05-31,38640.9
2022-06-01,36669.1
2022-06-02,36980.5
2022-06-03,36058.7
2022-06-06,38445.5
2022-06-07,37902.2
2022-06-08,36724.1
2022-06-09,36559.3
2022-06-10,35307.9
2022-06-13,28214.5
2022-06-14,27012.0
2022-06-15,26414.4
2022-06-16,25365.6
2022-06-17,25012.0
2022-06-21,25493.7
2022-06-22,24536.4
2022-06-23,25487.6
2022-06-24,25920.5
2022-06-27,25365.6
2022-06-28,24603.5
2022-06-29,24615.7
2022-06-30,22877.9
2022-07-01,23554.7
2022-07-05,24865.7
2022-07-06,24725.4
2022-07-07,26652.2
2022-07-08,26542.5
2022-07-11,24944.9
2022-07-12,23554.7
2022-07-13,23920.5
2022-07-14,25152.2
2022-07-15,25841.3
2022-07-18,26365.6
2022-07-19,28609.5
2022-07-20,28902.3
2022-07-21,28347.3
2022-07-22,27566.6
2022-07-25,26718.9
2022-07-26,25517.4
2022-07-27,27822.8
2022-07-28,29182.8
2022-07-29,29262.1
2022-08-01,28091.1
2022-08-02,28054.5
2022-08-03,28713.2
2022-08-04,27389.8
2022-08-05,28005.7
2022-08-08,29256.0
2022-08-09,28127.7
2022-08-10,28853.5
2022-08-11,29573.1
2022-08-12,29567.0
2022-08-15,29274.3
2022-08-16,29207.2
2022-08-17,28342.4
2022-08-18,28452.1
2022-08-19,25888.2
2022-08-22,25565.4
2022-08-23,26186.6
2022-08-24,26369.3
2022-08-25,26180.5
2022-08-26,24871.2
2022-08-29,24317.0
2022-08-30,24079.5
2022-08-31,24438.8
2022-09-01,23988.2
2022-09-02,24085.6
2022-09-06,22697.1
2022-09-07,23050.3
2022-09-08,23458.3
2022-09-09,25997.8
2022-09-12,27349.8
2022-09-13,24652.0
2022-09-14,24268.3
2022-09-15,24030.8
2022-09-16,23842.0
2022-09-19,23726.3
2022-09-20,23080.8
2022-09-21,23092.9
2022-09-22,23464.7
2022-09-23,22763.8
2022-09-26,23312.4
2022-09-27,23172.2
2022-09-28,23793.8
2022-09-29,23611.0
2022-09-30,23678.0
2022-10-03,23799.9
2022-10-04,24726.3
2022-10-05,24549.6
2022-10-06,24409.4
2022-10-07,23659.8
2022-10-10,23312.4
2022-10-11,23038.1
2022-10-12,23275.8
2022-10-13,23598.8
2022-10-14,23294.1
2022-10-17,23787.7
2022-10-18,23379.4
2022-10-19,23403.8
2022-10-20,23178.1
2022-10-21,23348.9
2022-10-24,23556.3
2022-10-25,24751.8
2022-10-26,25361.7
2022-10-27,25276.3
2022-10-28,25227.6
2022-10-31,24861.6
2022-11-01,24983.6
2022-11-02,24721.3
2022-11-03,24745.7
2022-11-04,25807.0
2022-11-07,25428.8
2022-11-08,22055.8
2022-11-09,19048.8
2022-11-10,21689.8
2022-11-11,19579.4
2022-11-14,19524.5
2022-11-15,20360.1
2022-11-16,19829.9
2022-11-17,20088.8
2022-11-18,20051.8
2022-11-21,18948.1
2022-11-22,19225.6
2022-11-23,20045.7
2022-11-25,20101.2
2022-11-28,19718.9
2022-11-29,20058.0
2022-11-30,21063.1
2022-12-01,20742.4
2022-12-02,20958.2
2022-12-05,20748.6
2022-12-06,20896.6
2022-12-07,20625.3
2022-12-08,21192.6
2022-12-09,21007.6
2022-12-12,21106.2
2022-12-13,21883.2
2022-12-14,21944.8
2022-12-15,21451.5
2022-12-16,20686.9
2022-12-19,20341.6
2022-12-20,20767.1
2022-12-21,20599.5
2022-12-22,20580.9
2022-12-23,20674.0
2022-12-27,20407.0
2022-12-28,20357.3
2022-12-29,20344.9
2022-12-30,20531.2
2023-01-03,20630.5
2023-01-04,20835.4
2023-01-05,20909.9
2023-01-06,20978.2
2023-01-09,21387.9
2023-01-10,21772.9
2023-01-11,21872.2
2023-01-12,23784.4
2023-01-13,24274.9
2023-01-17,26677.5
2023-01-18,25802.1
2023-01-19,26348.5
2023-01-20,27869.5
2023-01-23,28912.5
2023-01-24,28875.3
2023-01-25,28689.0
2023-01-26,28974.6
2023-01-27,28956.0
2023-01-30,28341.4
2023-01-31,28869.1
2023-02-01,29496.1
2023-02-02,29806.5
2023-02-03,29160.9
2023-02-06,28695.2
2023-02-07,28931.2
2023-02-08,28415.9
2023-02-09,27329.4
2023-02-10,27037.6
2023-02-13,26956.9
2023-02-14,27732.9
2023-02-15,30128.6
2023-02-16,30716.7
2023-02-17,31044.8
2023-02-21,30580.5
2023-02-22,29701.5
2023-02-23,29924.3
2023-02-24,28902.9
2023-02-27,29026.7
2023-02-28,28983.4
2023-03-01,29132.0
2023-03-02,29206.2
2023-03-03,27633.9
2023-03-06,27720.5
2023-03-07,27324.4
2023-03-08,27380.1
2023-03-09,24842.0
2023-03-10,24718.2
2023-03-13,30215.3
2023-03-14,31249.1
2023-03-15,30320.5
2023-03-16,31063.4
2023-03-17,33428.1
2023-03-20,34598.1
2023-03-21,35050.0
2023-03-22,33168.3
2023-03-23,35357.4
2023-03-24,34558.0
2023-03-27,33475.8
2023-03-28,34004.6
2023-03-29,35246.7
2023-03-30,34705.6
2023-03-31,35345.1
2023-04-03,34761.0
2023-04-04,34896.2
2023-04-05,34908.5
2023-04-06,34607.2
2023-04-07,34490.4
2023-04-10,36181.4
2023-04-11,37294.4
2023-04-12,36802.5
2023-04-13,37546.5
2023-04-14,37472.7
2023-04-17,36341.3
2023-04-18,37294.4
2023-04-19,35997.8
2023-04-20,34566.7
2023-04-21,33569.8
2023-04-24,33692.2
2023-04-25,33979.6
2023-04-26,34377.1
2023-04-27,36621.7
2023-04-28,36052.9
2023-05-01,34144.7
2023-05-02,35288.4
2023-05-03,34756.3
2023-05-04,35490.2
2023-05-05,36407.6
2023-05-08,33472.0
2023-05-09,33967.4
2023-05-10,33973.5
2023-05-11,32835.9
2023-05-12,32395.6
2023-05-15,33606.5
2023-05-16,32982.7
2023-05-17,33547.6
2023-05-18,32764.1
2023-05-19,32903.8
2023-05-22,32915.9
2023-05-23,33335.0
2023-05-24,32065.5
2023-05-25,32272.0
2023-05-26,32697.2
2023-05-30,34100.4
2023-05-31,32891.6
2023-06-01,32709.4
2023-06-02,33268.2
2023-06-05,31148.3
2023-06-06,33122.4
2023-06-07,32326.7
2023-06-08,32375.3
2023-06-09,32162.7
2023-06-12,31452.0
2023-06-13,31500.6
2023-06-14,31464.2
2023-06-15,30941.8
2023-06-16,32126.3
2023-06-20,34234.0
2023-06-21,36770.3
2023-06-22,36903.2
2023-06-23,37869.4
2023-06-26,36957.5
2023-06-27,37488.9
2023-06-28,36812.6
2023-06-29,37488.9
2023-06-30,37054.1
2023-07-03,38286.0
2023-07-05,37048.1
2023-07-06,36848.8
2023-07-07,36679.7
2023-07-10,37507.0
2023-07-11,37144.7
2023-07-12,36709.9
2023-07-13,38557.8
2023-07-14,36516.7
2023-07-17,36220.8
2023-07-18,35973.2
2023-07-19,36356.1
2023-07-20,36003.1
2023-07-21,36152.7
2023-07-24,35159.4
2023-07-25,35297.0
2023-07-26,35440.6
2023-07-27,35075.6
2023-07-28,35344.9
